seed,condition,level,cov_ratio,linear_auc,task_auc,residual_mean_norm
0,dose,0.0,1.0,0.913745,0.811523,2.0
0,dose,0.05,1.0,0.900112,0.809922,1.9
0,dose,0.1,1.0,0.887430,0.808541,1.8
0,dose,0.15,1.0,0.873110,0.807010,1.7
0,dose,0.2,1.0,0.858921,0.805112,1.6
0,dose,0.25,1.0,0.842515,0.803122,1.5
0,dose,0.3,1.0,0.824793,0.801218,1.4
0,dose,0.35,1.0,0.806031,0.799014,1.3
0,dose,0.4,1.0,0.785877,0.796931,1.2
0,dose,0.45,1.0,0.764691,0.794520,1.1
0,dose,0.5,1.0,0.741881,0.792094,1.0
0,dose,0.55,1.0,0.718112,0.789433,0.9
0,dose,0.6,1.0,0.693093,0.786818,0.8
0,dose,0.65,1.0,0.667491,0.784902,0.7
0,dose,0.7,1.0,0.641093,0.782311,0.6
0,dose,0.75,1.0,0.612571,0.779603,0.5
0,dose,0.8,1.0,0.583909,0.776820,0.4
0,dose,0.85,1.0,0.555112,0.773991,0.3
0,dose,0.9,1.0,0.527881,0.771010,0.2
0,dose,0.95,1.0,0.513612,0.768411,0.1
0,dose,1.0,1.0,0.510704,0.766122,0.0
0,dose,1.05,1.0,0.513934,0.763912,0.1
0,dose,1.1,1.0,0.529901,0.761820,0.2
0,dose,1.15,1.0,0.555840,0.759622,0.3
0,dose,1.2,1.0,0.584441,0.757510,0.4
0,dose,1.25,1.0,0.613772,0.755391,0.5
